ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,27905,10,pgxc,10.87.3.232,38215,2015-08-21 14:32:12.022376-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.243489-04,f,Remote Subplan,active,2015-08-21 14:42:24.033113-04
946684800,27908,10,pgxc,10.92.9.245,55168,2015-08-21 14:32:12.053479-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.850573-04,f,Remote Subplan,active,2015-08-21 14:42:23.900926-04
946684800,27910,10,pgxc,10.87.8.227,55163,2015-08-21 14:32:12.059368-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.909646-04,f,Remote Subplan,active,2015-08-21 14:42:23.97634-04
946684800,27911,10,pgxc,10.87.3.232,38226,2015-08-21 14:32:12.081697-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.210063-04,f,Remote Subplan,active,2015-08-21 14:42:24.096614-04
946684800,27915,10,pgxc,10.87.3.232,38249,2015-08-21 14:32:12.185007-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.96756-04,f,Remote Subplan,active,2015-08-21 14:42:23.951035-04
946684800,27917,10,pgxc,10.92.9.245,55190,2015-08-21 14:32:12.27493-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.920418-04,f,Remote Subplan,active,2015-08-21 14:42:23.98297-04
946684800,27918,10,pgxc,10.87.8.227,55184,2015-08-21 14:32:12.275977-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.09558-04,f,Remote Subplan,active,2015-08-21 14:42:24.16482-04
946684800,27919,10,pgxc,10.87.3.232,38267,2015-08-21 14:32:12.276142-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.054414-04,f,Remote Subplan,active,2015-08-21 14:42:24.112856-04
946684800,27921,10,pgxc,10.87.3.232,38285,2015-08-21 14:32:12.354768-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.911173-04,f,Remote Subplan,active,2015-08-21 14:42:24.066662-04
946684800,27923,10,pgxc,10.92.9.245,55230,2015-08-21 14:32:12.427134-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.576908-04,f,Remote Subplan,active,2015-08-21 14:42:23.783041-04
946684800,27927,10,pgxc,10.87.3.232,38310,2015-08-21 14:32:12.438648-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.913622-04,f,Remote Subplan,active,2015-08-21 14:42:24.12993-04
946684800,27928,10,pgxc,10.92.9.245,55233,2015-08-21 14:32:12.439345-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.842653-04,f,Remote Subplan,active,2015-08-21 14:42:24.06752-04
946684800,27929,10,pgxc,10.87.8.227,55225,2015-08-21 14:32:12.439983-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.77769-04,f,Remote Subplan,active,2015-08-21 14:42:23.986755-04
946684800,27931,10,pgxc,10.87.8.227,55228,2015-08-21 14:32:12.452543-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.619086-04,f,Remote Subplan,active,2015-08-21 14:42:23.853424-04
946684800,27933,10,pgxc,10.87.3.232,38332,2015-08-21 14:32:12.525799-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.609532-04,f,Remote Subplan,active,2015-08-21 14:42:23.905883-04
946684800,27935,10,pgxc,10.92.9.245,55272,2015-08-21 14:32:12.578272-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.694601-04,f,Remote Subplan,active,2015-08-21 14:42:24.042909-04
946684800,27938,10,pgxc,10.87.3.232,38352,2015-08-21 14:32:12.586713-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.62665-04,f,Remote Subplan,active,2015-08-21 14:42:23.969084-04
946684800,27939,10,pgxc,10.92.9.245,55275,2015-08-21 14:32:12.589977-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.630392-04,f,Remote Subplan,active,2015-08-21 14:42:24.001459-04
946684800,27941,10,pgxc,10.87.8.227,55260,2015-08-21 14:32:12.612645-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.661394-04,f,Remote Subplan,active,2015-08-21 14:42:24.045051-04
946684800,27944,10,pgxc,10.92.9.245,55300,2015-08-21 14:32:12.713137-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:20.732422-04,f,Remote Subplan,active,2015-08-21 14:42:24.226269-04
